Mixture,macrophages,mast,B.naive,B.memory,plasma,T.CD4.naive,T.CD4.memory,T.CD8.naive,T.CD8.memory,NK,pDCs,mDCs,monocytes.C,monocytes.NC.I,neutrophils,Treg,endothelial.cells,fibroblasts,P-value,Correlation,RMSE
ROI_142.dcc,0,0.022684031354144,0.170306873177677,0,0,0.0786245456382291,0,0,0,0.0134651873945548,0.0326646498022926,0,0.0667843741633251,0.00811561891811637,0,0,0.580892283890951,0.0264624356607108,0,0.278651278207892,0.95912255116017
ROI_143.dcc,0.00827729064806711,0.0216917392116815,0.137221176173251,0,0,0,0.111375080920642,0,0,0.232467952115032,0.0582659390429848,0.0154360814753747,0,0,0,0,0.415264740412967,0,0,0.207070794028837,0.97710240252982
ROI_144.dcc,0,0.103196793225724,0,0.186631781719977,0,0,0,0,0,0.0525531699195079,0.053313694269111,0,0.0527578305594653,0.0496518952801851,0,0,0.376919882527218,0.124974952498812,0,0.338798169333387,0.939696809377762
ROI_145.dcc,0.240790478889664,0,0,0,0,0,0,0,0.166378538427012,0.120902127448455,0,0.000348707042629088,0.0454062513356894,0,0,0,0.411603990911496,0.0145699059450545,0,0.278604976414429,0.9586408619339
ROI_146.dcc,0,0,0,0,0,0.0260559505431546,0,0.0287179700355628,0,0.17613085830744,0.0428416299711581,0.0447574238168519,0.0555161668283954,0,0,0,0.607647803875861,0.0183321966215759,0,0.26954334677812,0.96661048171083
ROI_147.dcc,0.376080953033892,0.0195945220192981,0.0544128928291186,0,0,0,0,0.0324379373068789,0.0993486910716933,0,0,0,0.0407215574395618,0,0,0,0.377403446299557,0,0,0.399781622034611,0.920565968914165
ROI_148.dcc,0.337730825640268,0,0,0,0,0.0326492262859504,0,0.249496782100884,0,0,0.177099620076562,0.0229522537780482,0,0,0,0,0.165582429438856,0.0144888626794321,0,0.027578697771379,1.03532554760238
ROI_149.dcc,0.472435114317043,0.00011462022891936,0,0,0,0.158364840954372,0,0.0718816703661291,0,0.153649736591242,0,0,0.0362260615351802,0.0117519250217286,0,0,0.081667570315809,0.013908460669577,0,0.0256126802876316,1.02679016277097
ROI_150.dcc,0.189776311916982,0,0.158791109018094,0,0,0.0341300314030192,0,0.115701500581693,0,0,0.182351623244797,0,0.0118818037944272,0.0416668286903911,0.126154058114316,0,0.139546733236282,0,0,-0.00580986472602599,1.02485842426698
ROI_151.dcc,0.294927374401919,0.104095789251352,0.0155504778691256,0,0,0.0822327280919296,0,0.0967731507341148,0,0.103195387301468,0.0804784332268822,0.00422450994269155,0.00948698405102525,0,0,0,0.168111648987221,0.0409235161422713,0,0.0610487390602336,1.01614995935343
